job_title,desc,types,job_link,load_date
"IT Support Engineer, Citizens Pay","Serve as the first contact with customers who need Office Technical assistance (e.g.,network connectivity, CCTV, laptops, IT assets issues) via the phone or email",Job Descriptions,https://www.jobnet.com.mm/job/it-support-engineer-citizens-pay-capital-diamond-star-group-cdsg/96636,2024-02-28 19:36:29.666245
"IT Support Engineer, Citizens Pay",Perform remote/onsite troubleshooting through diagnostic techniques and pertinent questions,Job Descriptions,https://www.jobnet.com.mm/job/it-support-engineer-citizens-pay-capital-diamond-star-group-cdsg/96636,2024-02-28 19:36:29.666245
"IT Support Engineer, Citizens Pay",Determine the best solution based on the issue and details provided by office users,Job Descriptions,https://www.jobnet.com.mm/job/it-support-engineer-citizens-pay-capital-diamond-star-group-cdsg/96636,2024-02-28 19:36:29.666245
"IT Support Engineer, Citizens Pay",Redirect unresolved issues to the next level of support personnel,Job Descriptions,https://www.jobnet.com.mm/job/it-support-engineer-citizens-pay-capital-diamond-star-group-cdsg/96636,2024-02-28 19:36:29.666245
"IT Support Engineer, Citizens Pay",Provide needed information on IT products or services,Job Descriptions,https://www.jobnet.com.mm/job/it-support-engineer-citizens-pay-capital-diamond-star-group-cdsg/96636,2024-02-28 19:36:29.666245
"IT Support Engineer, Citizens Pay",Keep record of problems and their resolution on logs / ticketing system,Job Descriptions,https://www.jobnet.com.mm/job/it-support-engineer-citizens-pay-capital-diamond-star-group-cdsg/96636,2024-02-28 19:36:29.666245
"IT Support Engineer, Citizens Pay",Follow-up and update office usersâ€™ status and information,Job Descriptions,https://www.jobnet.com.mm/job/it-support-engineer-citizens-pay-capital-diamond-star-group-cdsg/96636,2024-02-28 19:36:29.666245
"IT Support Engineer, Citizens Pay","Maintain technical documentation and service catalog on installation of software, configuration of hardware and problem troubleshooting",Job Descriptions,https://www.jobnet.com.mm/job/it-support-engineer-citizens-pay-capital-diamond-star-group-cdsg/96636,2024-02-28 19:36:29.666245
"IT Support Engineer, Citizens Pay",Pass on any feedback or suggestions by customers to the appropriate internal team,Job Descriptions,https://www.jobnet.com.mm/job/it-support-engineer-citizens-pay-capital-diamond-star-group-cdsg/96636,2024-02-28 19:36:29.666245
"IT Support Engineer, Citizens Pay",Identify and suggest possible improvements on procedures,Job Descriptions,https://www.jobnet.com.mm/job/it-support-engineer-citizens-pay-capital-diamond-star-group-cdsg/96636,2024-02-28 19:36:29.666245
"IT Support Engineer, Citizens Pay","Bachelor in IT, Computer Science or equivalent",Requirements,https://www.jobnet.com.mm/job/it-support-engineer-citizens-pay-capital-diamond-star-group-cdsg/96636,2024-02-28 19:36:29.666245
"IT Support Engineer, Citizens Pay",Proven experience as a help desk technician or other customer support role in IT related field,Requirements,https://www.jobnet.com.mm/job/it-support-engineer-citizens-pay-capital-diamond-star-group-cdsg/96636,2024-02-28 19:36:29.666245
"IT Support Engineer, Citizens Pay","Tech savvy with working knowledge of office automation products, databases and remote control",Requirements,https://www.jobnet.com.mm/job/it-support-engineer-citizens-pay-capital-diamond-star-group-cdsg/96636,2024-02-28 19:36:29.666245
"IT Support Engineer, Citizens Pay","Good understanding of computer systems, mobile devices and other tech products",Requirements,https://www.jobnet.com.mm/job/it-support-engineer-citizens-pay-capital-diamond-star-group-cdsg/96636,2024-02-28 19:36:29.666245
"IT Support Engineer, Citizens Pay",Ability to diagnose and resolve basic technical issues,Requirements,https://www.jobnet.com.mm/job/it-support-engineer-citizens-pay-capital-diamond-star-group-cdsg/96636,2024-02-28 19:36:29.666245
"IT Support Engineer, Citizens Pay",Excellent communication and interpersonal skills,Requirements,https://www.jobnet.com.mm/job/it-support-engineer-citizens-pay-capital-diamond-star-group-cdsg/96636,2024-02-28 19:36:29.666245
"IT Support Engineer, Citizens Pay",Customer-oriented and patient,Requirements,https://www.jobnet.com.mm/job/it-support-engineer-citizens-pay-capital-diamond-star-group-cdsg/96636,2024-02-28 19:36:29.666245
